	cost	init_light	plan	v	vel	x
183	0.3076923076923077	2	[0.0, 0.0]	13.0	[13.0, 13.0, 13.0]	40.0
184	0.15384615384615385	2	[0.0]	13.0	[13.0, 13.0]	50.0
185	0.7142857142857144	2	[0.0, 0.0, 0.0, 0.0, 0.0]	14.0	[14.0, 14.0, 14.0, 14.0, 14.0, 14.0]	10.0
186	0.5714285714285715	2	[0.0, 0.0, 0.0, 0.0]	14.0	[14.0, 14.0, 14.0, 14.0, 14.0]	20.0
187	0.4285714285714286	2	[0.0, 0.0, 0.0]	14.0	[14.0, 14.0, 14.0, 14.0]	30.0
188	0.28571428571428575	2	[0.0, 0.0]	14.0	[14.0, 14.0, 14.0]	40.0
189	0.14285714285714288	2	[0.0]	14.0	[14.0, 14.0]	50.0
190	0.6666666666666666	2	[0.0, 0.0, 0.0, 0.0, 0.0]	15.0	[15.0, 15.0, 15.0, 15.0, 15.0, 15.0]	10.0
191	0.5333333333333333	2	[0.0, 0.0, 0.0, 0.0]	15.0	[15.0, 15.0, 15.0, 15.0, 15.0]	20.0
192	0.4	2	[0.0, 0.0, 0.0]	15.0	[15.0, 15.0, 15.0, 15.0]	30.0
193	0.26666666666666666	2	[0.0, 0.0]	15.0	[15.0, 15.0, 15.0]	40.0
194	0.13333333333333333	2	[0.0]	15.0	[15.0, 15.0]	50.0
195	0.625	2	[0.0, 0.0, 0.0, 0.0, 0.0]	16.0	[16.0, 16.0, 16.0, 16.0, 16.0, 16.0]	10.0
196	0.5	2	[0.0, 0.0, 0.0, 0.0]	16.0	[16.0, 16.0, 16.0, 16.0, 16.0]	20.0
197	0.375	2	[0.0, 0.0, 0.0]	16.0	[16.0, 16.0, 16.0, 16.0]	30.0
198	0.25	2	[0.0, 0.0]	16.0	[16.0, 16.0, 16.0]	40.0
199	0.125	2	[0.0]	16.0	[16.0, 16.0]	50.0
200	0.5882352941176471	2	[0.0, 0.0, 0.0, 0.0, 0.0]	17.0	[17.0, 17.0, 17.0, 17.0, 17.0, 17.0]	10.0
201	0.4705882352941177	2	[0.0, 0.0, 0.0, 0.0]	17.0	[17.0, 17.0, 17.0, 17.0, 17.0]	20.0
202	0.35294117647058826	2	[0.0, 0.0, 0.0]	17.0	[17.0, 17.0, 17.0, 17.0]	30.0
203	0.23529411764705885	2	[0.0, 0.0]	17.0	[17.0, 17.0, 17.0]	40.0
204	0.11764705882352942	2	[0.0]	17.0	[17.0, 17.0]	50.0
205	0.5555555555555556	2	[0.0, 0.0, 0.0, 0.0, 0.0]	18.0	[18.0, 18.0, 18.0, 18.0, 18.0, 18.0]	10.0
206	0.4444444444444445	2	[0.0, 0.0, 0.0, 0.0]	18.0	[18.0, 18.0, 18.0, 18.0, 18.0]	20.0
207	0.33333333333333337	2	[0.0, 0.0, 0.0]	18.0	[18.0, 18.0, 18.0, 18.0]	30.0
208	0.22222222222222224	2	[0.0, 0.0]	18.0	[18.0, 18.0, 18.0]	40.0
209	0.11111111111111112	2	[0.0]	18.0	[18.0, 18.0]	50.0
210	0.5263157894736842	2	[0.0, 0.0, 0.0, 0.0, 0.0]	19.0	[19.0, 19.0, 19.0, 19.0, 19.0, 19.0]	10.0
211	0.42105263157894735	2	[0.0, 0.0, 0.0, 0.0]	19.0	[19.0, 19.0, 19.0, 19.0, 19.0]	20.0
212	0.3157894736842105	2	[0.0, 0.0, 0.0]	19.0	[19.0, 19.0, 19.0, 19.0]	30.0
213	0.21052631578947367	2	[0.0, 0.0]	19.0	[19.0, 19.0, 19.0]	40.0
214	0.10526315789473684	2	[0.0]	19.0	[19.0, 19.0]	50.0
215	0.5	2	[0.0, 0.0, 0.0, 0.0, 0.0]	20.0	[20.0, 20.0, 20.0, 20.0, 20.0, 20.0]	10.0
216	0.4	2	[0.0, 0.0, 0.0, 0.0]	20.0	[20.0, 20.0, 20.0, 20.0, 20.0]	20.0
217	0.30000000000000004	2	[0.0, 0.0, 0.0]	20.0	[20.0, 20.0, 20.0, 20.0]	30.0
218	0.2	2	[0.0, 0.0]	20.0	[20.0, 20.0, 20.0]	40.0
219	0.1	2	[0.0]	20.0	[20.0, 20.0]	50.0
220	0.47619047619047616	2	[0.0, 0.0, 0.0, 0.0, 0.0]	21.0	[21.0, 21.0, 21.0, 21.0, 21.0, 21.0]	10.0
221	0.38095238095238093	2	[0.0, 0.0, 0.0, 0.0]	21.0	[21.0, 21.0, 21.0, 21.0, 21.0]	20.0
222	0.2857142857142857	2	[0.0, 0.0, 0.0]	21.0	[21.0, 21.0, 21.0, 21.0]	30.0
223	0.19047619047619047	2	[0.0, 0.0]	21.0	[21.0, 21.0, 21.0]	40.0
224	0.09523809523809523	2	[0.0]	21.0	[21.0, 21.0]	50.0
225	0.4545454545454546	2	[0.0, 0.0, 0.0, 0.0, 0.0]	22.0	[22.0, 22.0, 22.0, 22.0, 22.0, 22.0]	10.0
226	0.36363636363636365	2	[0.0, 0.0, 0.0, 0.0]	22.0	[22.0, 22.0, 22.0, 22.0, 22.0]	20.0
227	0.2727272727272727	2	[0.0, 0.0, 0.0]	22.0	[22.0, 22.0, 22.0, 22.0]	30.0
228	0.18181818181818182	2	[0.0, 0.0]	22.0	[22.0, 22.0, 22.0]	40.0
229	0.09090909090909091	2	[0.0]	22.0	[22.0, 22.0]	50.0
230	4.033333333333334	3	[0.050000000000000003, 0.14999999999999999, 0.25, 0.0, 0.0]	0.0	[0.0, 1.0, 2.0, 3.0, 3.0, 3.0]	10.0
231	3.2	3	[0.050000000000000003, 0.14999999999999999, 0.0, 0.0]	0.0	[0.0, 1.0, 2.0, 2.0, 2.0]	20.0
232	2.2	3	[0.050000000000000003, 0.14999999999999999, 0.0]	0.0	[0.0, 1.0, 2.0, 2.0]	30.0
233	9999999.0	3	[]	0.0	[]	40.0
234	0.3	3	[0.050000000000000003]	0.0	[0.0, 1.0]	50.0
235	5.366666666666667	3	[0.14999999999999999, -0.14999999999999999, 0.14999999999999999, -0.14999999999999999, 0.14999999999999999]	1.0	[1.0, 2.0, 1.0, 2.0, 1.0, 2.0]	10.0
