	x	v	cost	plan	vel	init_light
218	40.0	20.0	0.275	[0.0, 0.0]	[20.0, 20.0, 20.0]	2
219	50.0	20.0	0.1375	[0.0]	[20.0, 20.0]	2
220	10.0	21.0	0.6547619047619048	[0.0, 0.0, 0.0, 0.0, 0.0]	[21.0, 21.0, 21.0, 21.0, 21.0, 21.0]	2
221	20.0	21.0	0.5238095238095238	[0.0, 0.0, 0.0, 0.0]	[21.0, 21.0, 21.0, 21.0, 21.0]	2
222	30.0	21.0	0.3928571428571429	[0.0, 0.0, 0.0]	[21.0, 21.0, 21.0, 21.0]	2
223	40.0	21.0	0.2619047619047619	[0.0, 0.0]	[21.0, 21.0, 21.0]	2
224	50.0	21.0	0.13095238095238096	[0.0]	[21.0, 21.0]	2
225	10.0	22.0	0.625	[0.0, 0.0, 0.0, 0.0, 0.0]	[22.0, 22.0, 22.0, 22.0, 22.0, 22.0]	2
226	20.0	22.0	0.5	[0.0, 0.0, 0.0, 0.0]	[22.0, 22.0, 22.0, 22.0, 22.0]	2
227	30.0	22.0	0.375	[0.0, 0.0, 0.0]	[22.0, 22.0, 22.0, 22.0]	2
228	40.0	22.0	0.25	[0.0, 0.0]	[22.0, 22.0, 22.0]	2
229	50.0	22.0	0.125	[0.0]	[22.0, 22.0]	2
230	10.0	0.0	7.493569711538462	[0.05, 1.2, 1.2, 6.0, 0.0]	[0.0, 1.0, 5.0, 7.0, 13.0, 13.0]	3
231	20.0	0.0	7.562319711538462	[0.05, 0.4, 8.0, 0.0]	[0.0, 1.0, 3.0, 13.0, 13.0]	3
232	30.0	0.0	7.838690476190477	[0.05, 0.15, 7.0]	[0.0, 1.0, 2.0, 12.0]	3
233	40.0	0.0	99999.0	[]	[]	3
234	50.0	0.0	0.5708333333333333	[7.199999999999999]	[0.0, 12.0]	3
